cache_size,block_size,associativity,write_back,write_allocate,miss_rate,total_cycle
32768,64,8,0,1,0.200455,9438883
32768,64,8,0,0,0.219809,9644281
32768,64,16,1,1,0.200923,5806274
32768,64,16,1,0,0.219822,5911078
32768,64,16,0,1,0.200923,9454074
32768,64,16,0,0,0.219822,9655778
32768,64,32,1,1,0.201719,5830189
32768,64,32,1,0,0.220278,5925172
32768,64,32,0,1,0.201719,9471489
32768,64,32,0,0,0.220278,9669272
32768,128,1,1,1,0.179931,5380157
32768,128,1,1,0,0.206499,5714177
32768,128,1,0,1,0.179931,8969357
32768,128,1,0,0,0.206499,9201477
32768,128,2,1,1,0.175585,5235568
32768,128,2,1,0,0.197454,5455181
32768,128,2,0,1,0.175585,8905768
32768,128,2,0,0,0.197454,9094081
32768,128,4,1,1,0.173981,5167541
32768,128,4,1,0,0.193615,5334074
32768,128,4,0,1,0.173981,8887141
32768,128,4,0,0,0.193615,9057074
32768,128,8,1,1,0.173904,5164959
32768,128,8,1,0,0.193748,5336743
32768,128,8,0,1,0.173904,8885959
32768,128,8,0,0,0.193748,9057243
32768,128,16,1,1,0.173711,5158004
32768,128,16,1,0,0.193499,5329701
32768,128,16,0,1,0.173711,8882104
32768,128,16,0,0,0.193499,9053301
32768,128,32,1,1,0.173638,5154121
32768,128,32,1,0,0.193078,5315999
32768,128,32,0,1,0.173638,8882221
32768,128,32,0,0,0.193078,9050499
32768,256,1,1,1,0.159416,4723329
32768,256,1,1,0,0.19245,5337045
32768,256,1,0,1,0.159416,8626029
32768,256,1,0,0,0.19245,8847545
32768,256,2,1,1,0.152736,4522783
32768,256,2,1,0,0.180486,5011128
32768,256,2,0,1,0.152736,8514183
32768,256,2,0,0,0.180486,8692028
32768,256,4,1,1,0.150191,4432275
32768,256,4,1,0,0.176075,4877154
32768,256,4,0,1,0.150191,8470575
32768,256,4,0,0,0.176075,8633154
32768,256,8,1,1,0.149615,4419109
32768,256,8,1,0,0.175284,4859238
32768,256,8,0,1,0.149615,8458909
32768,256,8,0,0,0.175284,8621038
32768,256,16,1,1,0.149159,4408715
32768,256,16,1,0,0.174777,4847356
32768,256,16,0,1,0.149159,8449815
32768,256,16,0,0,0.174777,8610456
32768,256,32,1,1,0.149137,4408620
32768,256,32,1,0,0.174764,4845959
32768,256,32,0,1,0.149137,8449320
32768,256,32,0,0,0.174764,8609459
32768,512,1,1,1,0.151734,4456416
32768,512,1,1,0,0.191208,5280134
32768,512,1,0,1,0.151734,8488716
32768,512,1,0,0,0.191208,8730734
32768,512,2,1,1,0.141958,4165490
32768,512,2,1,0,0.174231,4826283
32768,512,2,0,1,0.141958,8324190
32768,512,2,0,0,0.174231,8508183
32768,512,4,1,1,0.139086,4064958
32768,512,4,1,0,0.169124,4674871
32768,512,4,0,1,0.139086,8277558
32768,512,4,0,0,0.169124,8442971
32768,512,8,1,1,0.138777,4055330
32768,512,8,1,0,0.168328,4653256
32768,512,8,0,1,0.138777,8272630
32768,512,8,0,0,0.168328,8433756
32768,512,16,1,1,0.138596,4047872
32768,512,16,1,0,0.168152,4646197
32768,512,16,0,1,0.138596,8268072
32768,512,16,0,0,0.168152,8430497
32768,512,32,1,1,0.138076,4038693
32768,512,32,1,0,0.16761,4635423
32768,512,32,0,1,0.138076,8254393
32768,512,32,0,0,0.16761,8417723
32768,1024,1,1,1,0.153505,4471704
32768,1024,1,1,0,0.200304,5491218
32768,1024,1,0,1,0.153505,8513504
32768,1024,1,0,0,0.200304,8801218
32768,1024,2,1,1,0.138635,4036863
32768,1024,2,1,0,0.175245,4830947
32768,1024,2,0,1,0.138635,8257863
32768,1024,2,0,0,0.175245,8463147
32768,1024,4,1,1,0.135497,3929793
32768,1024,4,1,0,0.169605,4666559
32768,1024,4,0,1,0.135497,8204593
32768,1024,4,0,0,0.169605,8391659
32768,1024,8,1,1,0.135613,3934766
32768,1024,8,1,0,0.169872,4674297
32768,1024,8,0,1,0.135613,8204966
32768,1024,8,0,0,0.169872,8393597
32768,1024,16,1,1,0.135806,3939321
32768,1024,16,1,0,0.169949,4676079
32768,1024,16,0,1,0.135806,8209621
32768,1024,16,0,0,0.169949,8397279
32768,1024,32,1,1,0.135991,3941678
32768,1024,32,1,0,0.170056,4676854
32768,1024,32,0,1,0.135991,8214678
32768,1024,32,0,0,0.170056,8402354
32768,2048,1,1,1,0.141846,4143616
32768,2048,1,1,0,0.192274,5260086
32768,2048,1,0,1,0.141846,8238716
32768,2048,1,0,0,0.192274,8550786
32768,2048,2,1,1,0.116056,3442115
32768,2048,2,1,0,0.153664,4280867
32768,2048,2,0,1,0.116056,7757915
32768,2048,2,0,0,0.153664,7961767
32768,2048,4,1,1,0.10996,3250933
32768,2048,4,1,0,0.142951,3984059
32768,2048,4,0,1,0.10996,7654133
32768,2048,4,0,0,0.142951,7823459
32768,2048,8,1,1,0.109264,3239195
32768,2048,8,1,0,0.142272,3972517
32768,2048,8,0,1,0.109264,7637895
32768,2048,8,0,0,0.142272,7807617
32768,2048,16,1,1,0.10901,3231454
32768,2048,16,1,0,0.141734,3958342
32768,2048,16,0,1,0.10901,7634154
32768,2048,16,0,0,0.141734,7801042
32768,4096,1,1,1,0.141356,4121930
32768,4096,1,1,0,0.193052,5262405
32768,4096,1,0,1,0.141356,8221730
32768,4096,1,0,0,0.193052,8550505
32768,4096,2,1,1,0.107927,3234006
32768,4096,2,1,0,0.147117,4118590
32768,4096,2,0,1,0.107927,7573906
32768,4096,2,0,0,0.147117,7785490
32768,4096,4,1,1,0.0957865,2918630
32768,4096,4,1,0,0.131834,3732445
32768,4096,4,0,1,0.0957865,7319730
32768,4096,4,0,0,0.131834,7507545
32768,4096,8,1,1,0.094269,2887783
32768,4096,8,1,0,0.130755,3711196
32768,4096,8,0,1,0.094269,7281383
32768,4096,8,0,0,0.130755,7472396
65536,1,1,1,1,0.259085,7055645
65536,1,1,1,0,0.286066,7181069
65536,1,1,0,1,0.259085,10523345
65536,1,1,0,0,0.286066,10655169
65536,1,2,1,1,0.238802,6288363
65536,1,2,1,0,0.270817,6717716
65536,1,2,0,1,0.238802,10264763
65536,1,2,0,0,0.270817,10373816
65536,1,4,1,1,0.239172,6400177
65536,1,4,1,0,0.266436,6612335
65536,1,4,0,1,0.239172,10227177
65536,1,4,0,0,0.266436,10269735
65536,1,8,1,1,0.239348,6419836
65536,1,8,1,0,0.264897,6563093
65536,1,8,0,1,0.239348,10226636
65536,1,8,0,0,0.264897,10241493
65536,1,16,1,1,0.240535,6464660
65536,1,16,1,0,0.265615,6584026
65536,1,16,0,1,0.240535,10245360
65536,1,16,0,0,0.265615,10272226
65536,1,32,1,1,0.240345,6462404
65536,1,32,1,0,0.26804,6640162
65536,1,32,0,1,0.240345,10242704
65536,1,32,0,0,0.26804,10322562
65536,2,1,1,1,0.259085,7055645
65536,2,1,1,0,0.286066,7181069
65536,2,1,0,1,0.259085,10523345
65536,2,1,0,0,0.286066,10655169
65536,2,2,1,1,0.238802,6288363
65536,2,2,1,0,0.270817,6717716
65536,2,2,0,1,0.238802,10264763
65536,2,2,0,0,0.270817,10373816
65536,2,4,1,1,0.239172,6400177
65536,2,4,1,0,0.266436,6612335
65536,2,4,0,1,0.239172,10227177
65536,2,4,0,0,0.266436,10269735
65536,2,8,1,1,0.239348,6419836
65536,2,8,1,0,0.264897,6563093
65536,2,8,0,1,0.239348,10226636
65536,2,8,0,0,0.264897,10241493
65536,2,16,1,1,0.240535,6464660
65536,2,16,1,0,0.265615,6584026
65536,2,16,0,1,0.240535,10245360
65536,2,16,0,0,0.265615,10272226
65536,2,32,1,1,0.240345,6462404
65536,2,32,1,0,0.26804,6640162
65536,2,32,0,1,0.240345,10242704
65536,2,32,0,0,0.26804,10322562
65536,4,1,1,1,0.259085,7055645
65536,4,1,1,0,0.286066,7181069
65536,4,1,0,1,0.259085,10523345
65536,4,1,0,0,0.286066,10655169
65536,4,2,1,1,0.238802,6288363
65536,4,2,1,0,0.270817,6717716
65536,4,2,0,1,0.238802,10264763
65536,4,2,0,0,0.270817,10373816
65536,4,4,1,1,0.239172,6400177
65536,4,4,1,0,0.266436,6612335
65536,4,4,0,1,0.239172,10227177
65536,4,4,0,0,0.266436,10269735
65536,4,8,1,1,0.239348,6419836
65536,4,8,1,0,0.264897,6563093
65536,4,8,0,1,0.239348,10226636
65536,4,8,0,0,0.264897,10241493
65536,4,16,1,1,0.240535,6464660
65536,4,16,1,0,0.265615,6584026
65536,4,16,0,1,0.240535,10245360
65536,4,16,0,0,0.265615,10272226
65536,4,32,1,1,0.240345,6462404
65536,4,32,1,0,0.26804,6640162
65536,4,32,0,1,0.240345,10242704
65536,4,32,0,0,0.26804,10322562
65536,8,1,1,1,0.259085,7055645
65536,8,1,1,0,0.286066,7181069
65536,8,1,0,1,0.259085,10523345
65536,8,1,0,0,0.286066,10655169
65536,8,2,1,1,0.238802,6288363
65536,8,2,1,0,0.270817,6717716
65536,8,2,0,1,0.238802,10264763
65536,8,2,0,0,0.270817,10373816
65536,8,4,1,1,0.239172,6400177
65536,8,4,1,0,0.266436,6612335
65536,8,4,0,1,0.239172,10227177
65536,8,4,0,0,0.266436,10269735
65536,8,8,1,1,0.239348,6419836
65536,8,8,1,0,0.264897,6563093
65536,8,8,0,1,0.239348,10226636
65536,8,8,0,0,0.264897,10241493
65536,8,16,1,1,0.240535,6464660
65536,8,16,1,0,0.265615,6584026
65536,8,16,0,1,0.240535,10245360
65536,8,16,0,0,0.265615,10272226
65536,8,32,1,1,0.240345,6462404
65536,8,32,1,0,0.26804,6640162
65536,8,32,0,1,0.240345,10242704
65536,8,32,0,0,0.26804,10322562
65536,16,1,1,1,0.220398,6164344
65536,16,1,1,0,0.238755,6158974
65536,16,1,0,1,0.220398,9711544
65536,16,1,0,0,0.238755,9937174
65536,16,2,1,1,0.207875,5747457
65536,16,2,1,0,0.222492,5654857
65536,16,2,0,1,0.207875,9473157
65536,16,2,0,0,0.222492,9644057
65536,16,4,1,1,0.200077,5558871
65536,16,4,1,0,0.217819,5544344
65536,16,4,0,1,0.200077,9331771
65536,16,4,0,0,0.217819,9526444
65536,16,8,1,1,0.196607,5455078
65536,16,8,1,0,0.214139,5455600
65536,16,8,0,1,0.196607,9270378
65536,16,8,0,0,0.214139,9464200
65536,16,16,1,1,0.196728,5457850
65536,16,16,1,0,0.214001,5451932
65536,16,16,0,1,0.196728,9271350
65536,16,16,0,0,0.214001,9462532
65536,16,32,1,1,0.196826,5463327
65536,16,32,1,0,0.214053,5454420
65536,16,32,0,1,0.196826,9272927
65536,16,32,0,0,0.214053,9463220
65536,32,1,1,1,0.221791,6253720
65536,32,1,1,0,0.239812,6267528
65536,32,1,0,1,0.221791,9868820
65536,32,1,0,0,0.239812,10092928
65536,32,2,1,1,0.210141,5868330
65536,32,2,1,0,0.223205,5773491
65536,32,2,0,1,0.210141,9642130
65536,32,2,0,0,0.223205,9819091
65536,32,4,1,1,0.194767,5425906
65536,32,4,1,0,0.207307,5370289
65536,32,4,0,1,0.194767,9355506
65536,32,4,0,0,0.207307,9511489
65536,32,8,1,1,0.189024,5258042
65536,32,8,1,0,0.200704,5200025
65536,32,8,0,1,0.189024,9234942
65536,32,8,0,0,0.200704,9386425
65536,32,16,1,1,0.186977,5203418
65536,32,16,1,0,0.198194,5136409
65536,32,16,0,1,0.186977,9191118
65536,32,16,0,0,0.198194,9339509
65536,32,32,1,1,0.186569,5193213
65536,32,32,1,0,0.197772,5125407
65536,32,32,0,1,0.186569,9181613
65536,32,32,0,0,0.197772,9330807
65536,64,1,1,1,0.176054,5154459
65536,64,1,1,0,0.193396,5269825
65536,64,1,0,1,0.176054,8931259
65536,64,1,0,0,0.193396,9122625
65536,64,2,1,1,0.168216,4875582
65536,64,2,1,0,0.180516,4880721
65536,64,2,0,1,0.168216,8786382
65536,64,2,0,0,0.180516,8936121
65536,64,4,1,1,0.157985,4572862
65536,64,4,1,0,0.167842,4551869
65536,64,4,0,1,0.157985,8582662
65536,64,4,0,0,0.167842,8709469
65536,64,8,1,1,0.153888,4455115
65536,64,8,1,0,0.162219,4393377
65536,64,8,0,1,0.153888,8496815
65536,64,8,0,0,0.162219,8612477
65536,64,16,1,1,0.150255,4360160
65536,64,16,1,0,0.158118,4288731
65536,64,16,0,1,0.150255,8418360
65536,64,16,0,0,0.158118,8532131
65536,64,32,1,1,0.14814,4305552
65536,64,32,1,0,0.155384,4220467
65536,64,32,0,1,0.14814,8372452
65536,64,32,0,0,0.155384,8481067
65536,128,1,1,1,0.154597,4633950
65536,128,1,1,0,0.17255,4828174
65536,128,1,0,1,0.154597,8485250
65536,128,1,0,0,0.17255,8657474
65536,128,2,1,1,0.149511,4443733
65536,128,2,1,0,0.16209,4513307
65536,128,2,0,1,0.149511,8404533
65536,128,2,0,0,0.16209,8532207
65536,128,4,1,1,0.147805,4372030
65536,128,4,1,0,0.158105,4383334
65536,128,4,0,1,0.147805,8380130
65536,128,4,0,0,0.158105,8482134
65536,128,8,1,1,0.14783,4356924
65536,128,8,1,0,0.157155,4346555
65536,128,8,0,1,0.14783,8386424
65536,128,8,0,0,0.157155,8482955
65536,128,16,1,1,0.149008,4380350
65536,128,16,1,0,0.157985,4363662
65536,128,16,0,1,0.149008,8416650
65536,128,16,0,0,0.157985,8511162
65536,128,32,1,1,0.149864,4394351
65536,128,32,1,0,0.158724,4377190
65536,128,32,0,1,0.149864,8438151
65536,128,32,0,0,0.158724,8531790
65536,256,1,1,1,0.138274,4096147
65536,256,1,1,0,0.162542,4540202
65536,256,1,0,1,0.138274,8222347
65536,256,1,0,0,0.162542,8387402
65536,256,2,1,1,0.132612,3902464
65536,256,2,1,0,0.150956,4213797
65536,256,2,0,1,0.132612,8138564
65536,256,2,0,0,0.150956,8256097
65536,256,4,1,1,0.131438,3852537
65536,256,4,1,0,0.147452,4107612
65536,256,4,0,1,0.131438,8127337
65536,256,4,0,0,0.147452,8225112
65536,256,8,1,1,0.130935,3825054
65536,256,8,1,0,0.145513,4046363
65536,256,8,0,1,0.130935,8125354
65536,256,8,0,0,0.145513,8212863
65536,256,16,1,1,0.130832,3823378
65536,256,16,1,0,0.145118,4036955
65536,256,16,0,1,0.130832,8124678
65536,256,16,0,0,0.145118,8209155
65536,256,32,1,1,0.130961,3826648
65536,256,32,1,0,0.145122,4038854
65536,256,32,0,1,0.130961,8128048
65536,256,32,0,0,0.145122,8212154
65536,512,1,1,1,0.131039,3844230
65536,512,1,1,0,0.160341,4453614
65536,512,1,0,1,0.131039,8097730
65536,512,1,0,0,0.160341,8273914
65536,512,2,1,1,0.122213,3566683
65536,512,2,1,0,0.143428,3992648
65536,512,2,0,1,0.122213,7959983
65536,512,2,0,0,0.143428,8072248
65536,512,4,1,1,0.120033,3489490
65536,512,4,1,0,0.138618,3852767
65536,512,4,0,1,0.120033,7928790
65536,512,4,0,0,0.138618,8018567
65536,512,8,1,1,0.118589,3441126
65536,512,8,1,0,0.13612,3778148
65536,512,8,0,1,0.118589,7904026
65536,512,8,0,0,0.13612,7986748
65536,512,16,1,1,0.118868,3447661
65536,512,16,1,0,0.136507,3786258
65536,512,16,0,1,0.118868,7910161
65536,512,16,0,0,0.136507,7992558
65536,512,32,1,1,0.118657,3442810
65536,512,32,1,0,0.136275,3780812
65536,512,32,0,1,0.118657,7905710
65536,512,32,0,0,0.136275,7988212
65536,1024,1,1,1,0.132006,3833505
65536,1024,1,1,0,0.166402,4580704
65536,1024,1,0,1,0.132006,8114005
65536,1024,1,0,0,0.166402,8317704
65536,1024,2,1,1,0.118253,3426204
65536,1024,2,1,0,0.142547,3945053
65536,1024,2,0,1,0.118253,7880104
65536,1024,2,0,0,0.142547,8004053
65536,1024,4,1,1,0.115424,3327462
65536,1024,4,1,0,0.136283,3765710
65536,1024,4,0,1,0.115424,7839462
65536,1024,4,0,0,0.136283,7937310
65536,1024,8,1,1,0.114148,3284859
65536,1024,8,1,0,0.1337,3693611
65536,1024,8,0,1,0.114148,7819759
65536,1024,8,0,0,0.1337,7908711
65536,1024,16,1,1,0.113851,3277228
65536,1024,16,1,0,0.133278,3682809
65536,1024,16,0,1,0.113851,7815228
65536,1024,16,0,0,0.133278,7901409
65536,1024,32,1,1,0.113202,3263379
65536,1024,32,1,0,0.132702,3671343
65536,1024,32,0,1,0.113202,7799379
65536,1024,32,0,0,0.132702,7887543
65536,2048,1,1,1,0.112841,3334963
65536,2048,1,1,0,0.148329,4119108
65536,2048,1,0,1,0.112841,7679063
65536,2048,1,0,0,0.148329,7890708
65536,2048,2,1,1,0.0929965,2761979
65536,2048,2,1,0,0.115442,3255258
65536,2048,2,0,1,0.0929965,7330979
65536,2048,2,0,0,0.115442,7437058
65536,2048,4,1,1,0.0899485,2645888
65536,2048,4,1,0,0.107562,3026891
65536,2048,4,0,1,0.0899485,7296888
65536,2048,4,0,0,0.107562,7366791
65536,2048,8,1,1,0.08954,2624683
65536,2048,8,1,0,0.105876,2975583
65536,2048,8,0,1,0.08954,7296583
65536,2048,8,0,0,0.105876,7357083
65536,2048,16,1,1,0.0893767,2620221
65536,2048,16,1,0,0.10567,2970431
65536,2048,16,0,1,0.0893767,7292221
65536,2048,16,0,0,0.10567,7351531
65536,2048,32,1,1,0.0895357,2624084
65536,2048,32,1,0,0.106121,2980726
65536,2048,32,0,1,0.0895357,7294184
65536,2048,32,0,0,0.106121,7357426
65536,4096,1,1,1,0.10328,3078887
65536,4096,1,1,0,0.137728,3839074
65536,4096,1,0,1,0.10328,7474987
65536,4096,1,0,0,0.137728,7681474
65536,4096,2,1,1,0.0764753,2335322
65536,4096,2,1,0,0.0982843,2823249
65536,4096,2,0,1,0.0764753,6969222
65536,4096,2,0,0,0.0982843,7066449
65536,4096,4,1,1,0.0699494,2115140
65536,4096,4,1,0,0.0860879,2472686
65536,4096,4,0,1,0.0699494,6862840
65536,4096,4,0,0,0.0860879,6916586
65536,4096,8,1,1,0.0699666,2109736
65536,4096,8,1,0,0.0855806,2455304
65536,4096,8,0,1,0.0699666,6866736
65536,4096,8,0,0,0.0855806,6917204
65536,4096,16,1,1,0.069713,2099395
65536,4096,16,1,0,0.0852023,2442192
65536,4096,16,0,1,0.069713,6861895
65536,4096,16,0,0,0.0852023,6910892
131072,1,1,1,1,0.227616,5994465
131072,1,1,1,0,0.262275,6522103
131072,1,1,0,1,0.227616,10037265
131072,1,1,0,0,0.262275,10170703
131072,1,2,1,1,0.210738,5444591
131072,1,2,1,0,0.243101,5989163
131072,1,2,0,1,0.210738,9751891
131072,1,2,0,0,0.243101,9834263
131072,1,4,1,1,0.206357,5266310
131072,1,4,1,0,0.24053,5909161
131072,1,4,0,1,0.206357,9706210
131072,1,4,0,0,0.24053,9791761
131072,1,8,1,1,0.206241,5263937
131072,1,8,1,0,0.240642,5909735
131072,1,8,0,1,0.206241,9702937
131072,1,8,0,0,0.240642,9792535
131072,1,16,1,1,0.206478,5271882
131072,1,16,1,0,0.24081,5915396
131072,1,16,0,1,0.206478,9708982
131072,1,16,0,0,0.24081,9797196
131072,1,32,1,1,0.206516,5273373
131072,1,32,1,0,0.240969,5919559
131072,1,32,0,1,0.206516,9710373
131072,1,32,0,0,0.240969,9801659
131072,2,1,1,1,0.227616,5994465
131072,2,1,1,0,0.262275,6522103
131072,2,1,0,1,0.227616,10037265
131072,2,1,0,0,0.262275,10170703
131072,2,2,1,1,0.210738,5444591
131072,2,2,1,0,0.243101,5989163
131072,2,2,0,1,0.210738,9751891
131072,2,2,0,0,0.243101,9834263
131072,2,4,1,1,0.206357,5266310
131072,2,4,1,0,0.24053,5909161
131072,2,4,0,1,0.206357,9706210
131072,2,4,0,0,0.24053,9791761
131072,2,8,1,1,0.206241,5263937
131072,2,8,1,0,0.240642,5909735
131072,2,8,0,1,0.206241,9702937
131072,2,8,0,0,0.240642,9792535
131072,2,16,1,1,0.206478,5271882
131072,2,16,1,0,0.24081,5915396
131072,2,16,0,1,0.206478,9708982
131072,2,16,0,0,0.24081,9797196
131072,2,32,1,1,0.206516,5273373
131072,2,32,1,0,0.240969,5919559
131072,2,32,0,1,0.206516,9710373
131072,2,32,0,0,0.240969,9801659
131072,4,1,1,1,0.227616,5994465
131072,4,1,1,0,0.262275,6522103
131072,4,1,0,1,0.227616,10037265
131072,4,1,0,0,0.262275,10170703
131072,4,2,1,1,0.210738,5444591
131072,4,2,1,0,0.243101,5989163
131072,4,2,0,1,0.210738,9751891
131072,4,2,0,0,0.243101,9834263
131072,4,4,1,1,0.206357,5266310
131072,4,4,1,0,0.24053,5909161
131072,4,4,0,1,0.206357,9706210
131072,4,4,0,0,0.24053,9791761
131072,4,8,1,1,0.206241,5263937
131072,4,8,1,0,0.240642,5909735
131072,4,8,0,1,0.206241,9702937
131072,4,8,0,0,0.240642,9792535
131072,4,16,1,1,0.206478,5271882
131072,4,16,1,0,0.24081,5915396
131072,4,16,0,1,0.206478,9708982
131072,4,16,0,0,0.24081,9797196
131072,4,32,1,1,0.206516,5273373
131072,4,32,1,0,0.240969,5919559
131072,4,32,0,1,0.206516,9710373
131072,4,32,0,0,0.240969,9801659
131072,8,1,1,1,0.227616,5994465
131072,8,1,1,0,0.262275,6522103
131072,8,1,0,1,0.227616,10037265
131072,8,1,0,0,0.262275,10170703
131072,8,2,1,1,0.210738,5444591
131072,8,2,1,0,0.243101,5989163
131072,8,2,0,1,0.210738,9751891
131072,8,2,0,0,0.243101,9834263
