cache_size,block_size,associativity,write_back,write_allocate,miss_rate,total_cycle
32768,1,1,1,1,1,728
32768,1,1,1,0,1,728
32768,1,1,0,1,1,728
32768,1,1,0,0,1,728
32768,1,2,1,1,1,728
32768,1,2,1,0,1,728
32768,1,2,0,1,1,728
32768,1,2,0,0,1,728
32768,1,4,1,1,1,728
32768,1,4,1,0,1,728
32768,1,4,0,1,1,728
32768,1,4,0,0,1,728
32768,1,8,1,1,1,728
32768,1,8,1,0,1,728
32768,1,8,0,1,1,728
32768,1,8,0,0,1,728
32768,1,16,1,1,1,728
32768,1,16,1,0,1,728
32768,1,16,0,1,1,728
32768,1,16,0,0,1,728
32768,1,32,1,1,1,728
32768,1,32,1,0,1,728
32768,1,32,0,1,1,728
32768,1,32,0,0,1,728
32768,2,1,1,1,1,728
32768,2,1,1,0,1,728
32768,2,1,0,1,1,728
32768,2,1,0,0,1,728
32768,2,2,1,1,1,728
32768,2,2,1,0,1,728
32768,2,2,0,1,1,728
32768,2,2,0,0,1,728
32768,2,4,1,1,1,728
32768,2,4,1,0,1,728
32768,2,4,0,1,1,728
32768,2,4,0,0,1,728
32768,2,8,1,1,1,728
32768,2,8,1,0,1,728
32768,2,8,0,1,1,728
32768,2,8,0,0,1,728
32768,2,16,1,1,1,728
32768,2,16,1,0,1,728
32768,2,16,0,1,1,728
32768,2,16,0,0,1,728
32768,2,32,1,1,1,728
32768,2,32,1,0,1,728
32768,2,32,0,1,1,728
32768,2,32,0,0,1,728
32768,4,1,1,1,1,728
32768,4,1,1,0,1,728
32768,4,1,0,1,1,728
32768,4,1,0,0,1,728
32768,4,2,1,1,1,728
32768,4,2,1,0,1,728
32768,4,2,0,1,1,728
32768,4,2,0,0,1,728
32768,4,4,1,1,1,728
32768,4,4,1,0,1,728
32768,4,4,0,1,1,728
32768,4,4,0,0,1,728
32768,4,8,1,1,1,728
32768,4,8,1,0,1,728
32768,4,8,0,1,1,728
32768,4,8,0,0,1,728
32768,4,16,1,1,1,728
32768,4,16,1,0,1,728
32768,4,16,0,1,1,728
32768,4,16,0,0,1,728
32768,4,32,1,1,1,728
32768,4,32,1,0,1,728
32768,4,32,0,1,1,728
32768,4,32,0,0,1,728
32768,8,1,1,1,1,728
32768,8,1,1,0,1,728
32768,8,1,0,1,1,728
32768,8,1,0,0,1,728
32768,8,2,1,1,1,728
32768,8,2,1,0,1,728
32768,8,2,0,1,1,728
32768,8,2,0,0,1,728
32768,8,4,1,1,1,728
32768,8,4,1,0,1,728
32768,8,4,0,1,1,728
32768,8,4,0,0,1,728
32768,8,8,1,1,1,728
32768,8,8,1,0,1,728
32768,8,8,0,1,1,728
32768,8,8,0,0,1,728
32768,8,16,1,1,1,728
32768,8,16,1,0,1,728
32768,8,16,0,1,1,728
32768,8,16,0,0,1,728
32768,8,32,1,1,1,728
32768,8,32,1,0,1,728
32768,8,32,0,1,1,728
32768,8,32,0,0,1,728
32768,16,1,1,1,1,728
32768,16,1,1,0,1,728
32768,16,1,0,1,1,728
32768,16,1,0,0,1,728
32768,16,2,1,1,1,728
32768,16,2,1,0,1,728
32768,16,2,0,1,1,728
32768,16,2,0,0,1,728
32768,16,4,1,1,1,728
32768,16,4,1,0,1,728
32768,16,4,0,1,1,728
32768,16,4,0,0,1,728
32768,16,8,1,1,1,728
32768,16,8,1,0,1,728
32768,16,8,0,1,1,728
32768,16,8,0,0,1,728
32768,16,16,1,1,1,728
32768,16,16,1,0,1,728
32768,16,16,0,1,1,728
32768,16,16,0,0,1,728
32768,16,32,1,1,1,728
32768,16,32,1,0,1,728
32768,16,32,0,1,1,728
32768,16,32,0,0,1,728
32768,32,1,1,1,1,728
32768,32,1,1,0,1,728
32768,32,1,0,1,1,728
32768,32,1,0,0,1,728
32768,32,2,1,1,1,728
32768,32,2,1,0,1,728
32768,32,2,0,1,1,728
32768,32,2,0,0,1,728
32768,32,4,1,1,1,728
32768,32,4,1,0,1,728
32768,32,4,0,1,1,728
32768,32,4,0,0,1,728
32768,32,8,1,1,1,728
32768,32,8,1,0,1,728
32768,32,8,0,1,1,728
32768,32,8,0,0,1,728
32768,32,16,1,1,1,728
32768,32,16,1,0,1,728
32768,32,16,0,1,1,728
32768,32,16,0,0,1,728
32768,32,32,1,1,1,728
32768,32,32,1,0,1,728
32768,32,32,0,1,1,728
32768,32,32,0,0,1,728
32768,64,1,1,1,1,768
32768,64,1,1,0,1,728
32768,64,1,0,1,1,728
32768,64,1,0,0,1,728
32768,64,2,1,1,1,752
32768,64,2,1,0,1,728
32768,64,2,0,1,1,728
32768,64,2,0,0,1,728
32768,64,4,1,1,1,728
32768,64,4,1,0,1,728
32768,64,4,0,1,1,728
32768,64,4,0,0,1,728
32768,64,8,1,1,1,728
32768,64,8,1,0,1,728
32768,64,8,0,1,1,728
32768,64,8,0,0,1,728
32768,64,16,1,1,1,728
32768,64,16,1,0,1,728
32768,64,16,0,1,1,728
32768,64,16,0,0,1,728
32768,64,32,1,1,1,728
32768,64,32,1,0,1,728
32768,64,32,0,1,1,728
32768,64,32,0,0,1,728
32768,128,1,1,1,0.857143,717
32768,128,1,1,0,0.923077,679
32768,128,1,0,1,0.857143,685
32768,128,1,0,0,0.923077,679
32768,128,2,1,1,0.857143,677
32768,128,2,1,0,0.923077,679
32768,128,2,0,1,0.857143,685
32768,128,2,0,0,0.923077,679
32768,128,4,1,1,0.857143,653
32768,128,4,1,0,0.923077,679
32768,128,4,0,1,0.857143,685
32768,128,4,0,0,0.923077,679
32768,128,8,1,1,0.857143,637
32768,128,8,1,0,0.923077,679
32768,128,8,0,1,0.857143,685
32768,128,8,0,0,0.923077,679
32768,128,16,1,1,0.857143,637
32768,128,16,1,0,0.923077,679
32768,128,16,0,1,0.857143,685
32768,128,16,0,0,0.923077,679
32768,128,32,1,1,0.857143,637
32768,128,32,1,0,0.923077,679
32768,128,32,0,1,0.857143,685
32768,128,32,0,0,0.923077,679
32768,256,1,1,1,0.703297,619
32768,256,1,1,0,0.835165,623
32768,256,1,0,1,0.703297,635
32768,256,1,0,0,0.835165,623
32768,256,2,1,1,0.703297,587
32768,256,2,1,0,0.835165,623
32768,256,2,0,1,0.703297,635
32768,256,2,0,0,0.835165,623
32768,256,4,1,1,0.703297,571
32768,256,4,1,0,0.835165,623
32768,256,4,0,1,0.703297,635
32768,256,4,0,0,0.835165,623
32768,256,8,1,1,0.703297,539
32768,256,8,1,0,0.835165,623
32768,256,8,0,1,0.703297,635
32768,256,8,0,0,0.835165,623
32768,256,16,1,1,0.703297,539
32768,256,16,1,0,0.835165,623
32768,256,16,0,1,0.703297,635
32768,256,16,0,0,0.835165,623
32768,256,32,1,1,0.703297,539
32768,256,32,1,0,0.835165,623
32768,256,32,0,1,0.703297,635
32768,256,32,0,0,0.835165,623
32768,512,1,1,1,0.428571,420
32768,512,1,1,0,0.681319,525
32768,512,1,0,1,0.428571,548
32768,512,1,0,0,0.681319,525
32768,512,2,1,1,0.428571,412
32768,512,2,1,0,0.681319,525
32768,512,2,0,1,0.428571,548
32768,512,2,0,0,0.681319,525
